source,run_key,window_hours,horizon_hours,status,task,experiment,split,macro_f1,weighted_f1,quiet_recall,quiet_precision,B_recall,B_precision,C_recall,C_precision,M_recall,M_precision,X_recall,X_precision,BC_recall,BC_precision,MX_recall,MX_precision
night,W72_H72,72,72,failed,3c,baseline_3c,test,0.3859260103258286,0.8735077881868821,0.8462687890184756,0.9731863702357496,,,,,,,,,0.4829509481745003,0.1175369985838915,0.0619946091644204,0.0649029982363315
night,W72_H72,72,72,failed,3c,baseline_3c,val,0.3726561986062156,0.8661925059266623,0.833921695764591,0.9773249650539904,,,,,,,,,0.5377056184575946,0.1056985680090706,0.0275229357798165,0.0831234256926952
night,W72_H72,72,72,failed,3c,weighted_3c,test,0.366717696023584,0.8484319281206327,0.7991237067710114,0.9776358025456392,,,,,,,,,0.564171364828605,0.1095211340145848,0.0781671159029649,0.0245010032738409
night,W72_H72,72,72,failed,3c,weighted_3c,val,0.3591810296514597,0.8350673680172065,0.7805528205374511,0.9785540814483272,,,,,,,,,0.5244605853450117,0.0820631100414494,0.0683903252710592,0.0660757453666398
night,W72_H72,72,72,failed,3c,weighted_thresholded_3c,test,0.3768378431845721,0.9271004489772182,0.9679925033874052,0.9604614754448524,,,,,,,,,0.1028369863426693,0.1517213771016813,0.0768194070080862,0.0305507168698914
night,W72_H72,72,72,failed,3c,weighted_thresholded_3c,val,0.4033515584766272,0.9304843660193962,0.9720948104032084,0.9625176354960924,,,,,,,,,0.1506088442640461,0.1886540005351886,0.0658882402001668,0.0877777777777777
night,W72_H72,72,72,failed,5c,baseline_5c,test,0.2379844709293059,0.8913127449308333,0.8849130671529334,0.9704601445954466,0.3389012756314192,0.1114208805998846,0.1192771084337349,0.0397909967845659,0.0502392344497607,0.0290686177575637,0.0,0.0,,,,
night,W72_H72,72,72,failed,5c,baseline_5c,val,0.2113924948674252,0.8781138913911865,0.8667259031563443,0.9684615384615384,1.0,0.0016220600162206,0.1084389091689929,0.14412100456621,0.0042844901456726,0.0096339113680154,0.03125,0.0054347826086956,,,,
night,W72_H72,72,72,failed,5c,weighted_5c,test,0.3638020896601915,0.8588231506083897,0.8220542238093429,0.9748950644630828,0.4345188055118973,0.0988360492184902,0.1514629948364888,0.0393032603841,0.0690362269309637,0.011720336524514,0.6428571428571429,0.7297297297297297,,,,
night,W72_H72,72,72,failed,5c,weighted_5c,val,0.4223414838184898,0.8431731233036684,0.7958022141639249,0.9739881844634511,1.0,0.0011609907120743,0.1421515997423234,0.1251654377008886,0.3110539845758355,0.1327239488117002,1.0,0.8421052631578947,,,,
night,W72_H72,72,72,failed,5c,weighted_thresholded_5c,test,0.3350774730492568,0.8853643840557389,0.874121490711545,0.9701336264082212,0.2799809934573632,0.1136818984580222,0.2223752151462995,0.0450786783433934,0.0690362269309637,0.0110775980257746,0.3333333333333333,1.0,,,,
night,W72_H72,72,72,failed,5c,weighted_thresholded_5c,val,0.4317574414725091,0.8738500878154839,0.8512443665297823,0.9714254393978148,1.0,0.0019497928345113,0.1769379428816835,0.1340055293543665,0.3101970865467009,0.1275096865093342,1.0,0.8421052631578947,,,,
