run_key,source,task,experiment,split,macro_f1,weighted_f1,quiet_precision,quiet_recall,B_precision,B_recall,C_precision,C_recall,M_precision,M_recall,X_precision,X_recall
W24_H48,night,3c,weighted_thresholded_3c,test,0.3726049215765698,0.9199736009626972,0.972341477965692,0.925820376446789,,,,,,,,
W24_H48,night,3c,weighted_thresholded_3c,val,0.4022684372151883,0.9273876358029012,0.974869273394209,0.9396109464562428,,,,,,,,
W24_H48,night,5c,baseline_5c,test,0.2355743943221517,0.8946389199127708,0.9749069738886248,0.8753849915032226,0.0879372377604354,0.3588858970043756,0.0281242551839199,0.0852806552637918,0.0359647545405502,0.0966650555824069,0.0161290322580645,0.024390243902439
W24_H48,night,5c,baseline_5c,val,0.2876567823671282,0.8820477747857042,0.9683781055703052,0.8587837939490589,0.0,0.0,0.1650485436893204,0.1232202951074294,0.0111801242236024,0.0091743119266055,0.3513513513513513,0.40625
W24_H48,night,5c,weighted_5c,test,0.2268525825048015,0.8685724689891229,0.9804330402092468,0.8238662374735449,0.0852036967182195,0.4561595422416695,0.0360583391636618,0.1614068899060467,0.0203415081366032,0.1715804736587723,0.0,0.0
W24_H48,night,5c,weighted_5c,val,0.2877499408142441,0.8601613834075802,0.9781455027897424,0.8097082850652184,0.0002487438435898,0.2083333333333333,0.1519742883379247,0.1713694020191561,0.0997581620314389,0.3363914373088685,0.2592592592592592,0.21875
W24_H48,night,5c,weighted_thresholded_5c,test,0.2269272382795878,0.868615773512792,0.9804264372864534,0.8239429361699068,0.0852197279820226,0.4563278357455402,0.036219033800849,0.1623705131293664,0.0203681264785644,0.1706138231029483,0.0,0.0
W24_H48,night,5c,weighted_thresholded_5c,val,0.2878051167267869,0.8601676140824105,0.9781455027897424,0.8097082850652184,0.0002487438435898,0.2083333333333333,0.1521340064249655,0.1716282681853481,0.0998185117967332,0.3363914373088685,0.2592592592592592,0.21875
W24_H72,night,3c,baseline_3c,test,0.376788851396258,0.8568483358350375,0.974358715133904,0.816725905408481,,,,,,,,
W24_H72,night,3c,baseline_3c,val,0.3686084140949541,0.8435024928792958,0.9721149760774388,0.8004913369537109,,,,,,,,
